w,vector_semantico
monopoly,"['monopoly', 'Monopoly']"
far,"['FAR', 'Interahamwe', 'far', 'Former_Armed_Forces', 'Army_for_the_Liberation_of_Rwanda', 'ALIR']"
spread,"['spread_head', 'outspread', 'cattle_ranch', 'spread_out', 'banquet', 'cattle_farm', 'unfold', 'dispersed', 'disperse', 'feast', 'overspread', 'facing_pages', 'circularize', 'fan_out', 'spreading', 'disseminate', 'bed_cover', 'open', 'bedspread', 'ranch', 'bed_covering', 'spread', 'distribute', 'pass_around', 'spreadhead', 'paste', 'propagate', 'bedcover', 'counterpane', 'gap', 'broadcast', 'scatter', 'diffuse', 'circulate', 'go_around', 'circularise']"
danger,"['peril', 'risk', 'danger']"
Land,"['demesne', 'ground', 'commonwealth', 'country', 'state', 'solid_ground', 'farming', 'bring_down', 'Edwin_Herbert_Land', 'shoot_down', 'soil', 'dry_land', 'body_politic', 'put_down', 'res_publica', 'realm', 'acres', 'terra_firma', 'shore', 'kingdom', 'down', 'land', 'estate', 'Din_Land', 'earth', 'Land', 'nation', 'set_down', 'bring', 'landed_estate', 'domain', 'set_ashore']"
serious,"['good', 'sober', 'dangerous', 'grave', 'severe', 'life-threatening', 'serious', 'unplayful', 'grievous']"
Only,"['but', 'exclusively', 'simply', 'alone', 'only_if', 'only', 'only_when', 'lone', 'just', 'solely', 'lonesome', 'merely', 'entirely', 'sole', 'solitary']"
marginally,['marginally']
development,"['maturation', 'development', 'ontogeny', 'developing', 'ontogenesis', 'evolution', 'growing', 'exploitation', 'growth']"
external,"['extraneous', 'international', 'external', 'outside']"
practices,"['practice_session', 'apply', 'recitation', 'drill', 'rehearse', 'pattern', 'practise', 'use', 'praxis', 'do', 'practice', 'exercise', 'commit']"
skilled,['skilled']
transitional,['transitional']
cases,"[""typesetter's_case"", 'lawsuit', 'vitrine', 'suit', 'causa', 'cause', 'grammatical_case', 'subject', 'example', ""compositor's_case"", 'typeface', 'showcase', 'pillowcase', 'casing', 'caseful', 'face', 'slip', 'instance', 'fount', 'display_case', 'font', 'guinea_pig', 'event', 'incase', 'shell', 'type', 'pillow_slip', 'sheath', 'character', 'case', 'encase', 'eccentric']"
same,"['same', 'Same', 'Lapp', 'Saame', 'Lapplander', 'Sami', 'like', 'Saami']"
trained,"['trained', 'civilise', 'coach', 'trail', 'aim', 'direct', 'groom', 'take', 'educate', 'develop', 'discipline', 'take_aim', 'rail', 'train', 'civilize', 'prepare', 'check', 'condition', 'school', 'cultivate']"
decrees,"['order', 'edict', 'rule', 'fiat', 'decree', 'rescript']"
satisfy,"['satisfy', 'meet', 'gratify', 'fulfil', 'live_up_to', 'fill', 'fulfill']"
as,"['AS', 'as', 'American_Samoa', 'arsenic', 'A', 'angstrom_unit', 'a', 'axerophthol', 'type_A', 'deoxyadenosine_monophosphate', 'angstrom', 'every_bit', 'Eastern_Samoa', 'antiophthalmic_factor', 'vitamin_A', 'amp', 'atomic_number_33', 'ampere', 'equally', 'adenine', 'As', 'group_A']"
consequences,"['effect', 'aftermath', 'consequence', 'result', 'import', 'upshot', 'issue', 'event', 'outcome', 'moment']"
To,[]
society,"['club', 'guild', 'lodge', 'order', 'smart_set', 'society', 'high_society', 'companionship', 'social_club', 'beau_monde', 'gild', 'company', 'fellowship', 'bon_ton']"
developments,"['maturation', 'development', 'ontogeny', 'developing', 'ontogenesis', 'evolution', 'growing', 'exploitation', 'growth']"
substantial,"['square', 'material', 'strong', 'real', 'substantial', 'hearty', 'solid', 'satisfying', 'substantive', 'significant']"
sector,"['sphere', 'sector']"
home,"['household', 'place', 'domicile', 'house', 'nursing_home', 'base', 'abode', 'national', 'interior', 'home', 'dwelling_house', 'home_base', 'internal', 'home_plate', 'habitation', 'family', 'dwelling', 'plate', 'menage', 'rest_home']"
above,"['to_a_higher_place', 'above', 'higher_up', 'in_a_higher_place', 'supra']"
boldly,['boldly']
town,"['township', 'Town', 'Ithiel_Town', 'town', 'townspeople', 'townsfolk']"
uncertainty,"['uncertainness', 'dubiety', 'doubt', 'incertitude', 'precariousness', 'uncertainty', 'dubiousness', 'doubtfulness']"
and,[]
if,[]
telling,"['telltale', 'impressive', 'severalize', 'notification', 'order', 'singing', 'state', 'recite', 'cogent', 'distinguish', 'say', 'secern', 'weighty', 'revealing', 'separate', 'assure', 'telling', 'differentiate', 'relation', 'recount', 'apprisal', 'secernate', 'enjoin', 'recounting', 'tattle', 'tell', 'tell_apart', 'severalise', 'evidence', 'narrate']"
incentive,"['incentive', 'inducement', 'motivator', 'bonus']"
adventures,"['gamble', 'risky_venture', 'jeopardize', 'chance', 'hazard', 'take_a_chance', 'escapade', 'stake', 'run_a_risk', 'take_chances', 'dangerous_undertaking', 'risk', 'venture', 'adventure']"
struggle,"['shinny', 'shin', 'scramble', 'skin', 'clamber', 'contend', 'conflict', 'fight', 'struggle', 'sputter', 'battle']"
symbolically,['symbolically']
domestic,"['house_servant', 'domesticated', 'domestic_help', 'domestic']"
institutions,"['psychiatric_hospital', 'asylum', 'instauration', 'introduction', 'establishment', 'institution', 'mental_institution', 'initiation', 'mental_hospital', 'founding', 'innovation', 'origination', 'mental_home', 'foundation', 'insane_asylum', 'creation']"
alienated,"['alienated', 'disoriented', 'estrange', 'alien', 'disaffect', 'alienate', 'anomic', 'estranged']"
stability,"['constancy', 'stability', 'stableness']"
material,"['material', 'substantial', 'real', 'stuff', 'cloth', 'textile', 'fabric', 'corporeal']"
looming,"['tower', 'hulk', 'brood', 'bulk_large', 'predominate', 'hover', 'loom']"
among,[]
seriously,"['seriously', 'badly', 'severely', 'in_earnest', 'earnestly', 'gravely']"
outward,"['outward', 'outbound', 'outwards', 'outward-bound']"
men,"['man', 'humankind', 'human_beings', 'workforce', 'human', 'piece', 'human_race', 'adult_male', 'serviceman', 'manpower', 'valet', 'humans', 'men', 'Isle_of_Man', 'world', 'gentleman', 'homo', 'valet_de_chambre', 'military_man', 'military_personnel', 'human_being', ""gentleman's_gentleman"", 'humanity', 'mankind', 'hands', 'work_force', 'Man']"
ahead,"['in_advance', 'in_the_lead', 'onwards', 'leading', 'forwards', 'out_front', 'ahead', 'forward', 'forrader', 'in_front', 'onward', 'before', 'beforehand']"
obstacles,"['obstruction', 'obstacle']"
conclusion,"['finish', 'closing', 'stopping_point', 'ending', 'termination', 'end', 'ratiocination', 'conclusion', 'determination', 'finis', 'decision', 'finale', 'close', 'last']"
community,"['residential_area', 'biotic_community', 'community_of_interests', 'community', 'residential_district']"
relatively,"['comparatively', 'relatively']"
will,"['volition', 'will', 'bequeath', 'testament', 'leave']"
unpleasant,['unpleasant']
potential,"['possible', 'potentiality', 'voltage', 'potency', 'potential_difference', 'potential', 'electric_potential', 'potential_drop', 'likely']"
land,"['demesne', 'ground', 'commonwealth', 'country', 'state', 'solid_ground', 'farming', 'bring_down', 'Edwin_Herbert_Land', 'shoot_down', 'soil', 'dry_land', 'body_politic', 'put_down', 'res_publica', 'realm', 'acres', 'terra_firma', 'shore', 'kingdom', 'down', 'land', 'estate', 'Din_Land', 'earth', 'Land', 'nation', 'set_down', 'bring', 'landed_estate', 'domain', 'set_ashore']"
policy,"['insurance', 'insurance_policy', 'policy']"
affects,"['bear_on', 'move', 'bear_upon', 'touch', 'strike', 'touch_on', 'affect', 'involve', 'pretend', 'regard', 'dissemble', 'sham', 'feign', 'impact', 'impress']"
Taiwan,"['Republic_of_China', 'Formosa', 'Nationalist_China', 'China', 'Taiwan']"
deficient,"['inferior', 'lacking', 'insufficient', 'wanting', 'substandard', 'deficient']"
even,"['even_out', 'flush', 'tied', 'still', 'eventide', 'fifty-fifty', 'level', 'regular', 'yet', 'even', 'eve', 'evening']"
problem,"['job', 'trouble', 'problem']"
phase,"['phase_angle', 'form', 'stage', 'phase']"
make,"['have', 'make_believe', 'brand', 'realise', 'cause', 'construct', 'throw', 'produce', 'arrive_at', 'draw', 'relieve_oneself', 'shuffle', 'fix', 'ca-ca', 'ready', 'establish', 'take_a_leak', 'shuffling', 'earn', 'constitute', 'reach', 'pretend', 'form', 'get_to', 'give', 'pass_water', 'get', 'do', 'create', 'attain', 'shit', 'stimulate', 'piddle', 'pee', 'take_a_crap', 'make_water', 'defecate', 'wee-wee', 'hit', 'gain', 'lay_down', 'take', 'progress_to', 'work', 'pull_in', 'seduce', 'urinate', 'puddle', 'micturate', 'piss', 'bring_in', 'hold', 'nominate', 'spend_a_penny', 'build', 'prepare', 'realize', 'name', 'make_up', 'cook', 'wee', 'make', 'crap', 'induce', 'clear', 'score', 'pee-pee', 'take_a_shit', 'take_in', 'stool']"
offering,"['proffer', 'tender', 'provide', 'offering', 'oblation', 'propose', 'extend', 'pop_the_question', 'declare_oneself', 'put_up', 'bid', 'offer_up', 'offer', 'volunteer']"
performance,"['carrying_into_action', 'carrying_out', 'functioning', 'performance', 'execution', 'public_presentation', 'operation']"
smaller,"['pocket-size', 'humble', 'minor', 'low', 'smaller', 'small', 'modest', 'lowly', 'littler', 'diminished', 'belittled', 'little', 'pocket-sized', 'small-scale', 'minuscule']"
agricultural,"['agricultural', 'farming', 'agrarian']"
effective,"['efficacious', 'good', 'in_effect', 'effectual', 'efficient', 'in_force', 'effective']"
duration,"['duration', 'length', 'continuance']"
passing,"['overstep', 'pass_on', 'choke', 'egest', 'passage', 'excrete', 'surpass', 'release', 'cursory', 'pop_off', 'overhaul', 'kick_the_bucket', 'super', 'exceedingly', 'go', 'return', 'pass_off', 'evanesce', 'clear', 'devolve', 'perfunctory', 'casual', 'lapse', 'overtake', 'fleet', 'expire', 'draw', ""cash_in_one's_chips"", 'drop_dead', 'pass', 'elapse', 'transitory', 'loss', 'run', 'buy_the_farm', 'come_about', 'give', 'pass_by', 'authorise', 'go_past', 'fade', 'exceed', 'snuff_it', 'spend', 'make_it', 'passing', 'happen', 'turn_over', 'sink', 'short-lived', 'lead', 'fall', 'qualifying', 'decease', 'pass_away', 'transcend', 'passing_game', 'extend', 'transient', 'fall_out', 'legislate', 'croak', 'go_on', 'top', 'occur', 'die', 'communicate', 'glide_by', 'passing_play', 'travel_by', 'authorize', 'give-up_the_ghost', 'going', 'pass_along', 'slip_by', 'go_across', 'make_pass', 'slip_away', 'go_along', 'go_through', 'hap', 'hand', 'take_place', 'reach', 'expiration', 'extremely', 'overtaking', 'guide', 'departure', 'go_by', 'slide_by', 'exit', 'ephemeral', 'put_across', 'fugacious', 'blow_over', 'eliminate', 'perish', 'conk']"
agenda,"['schedule', 'docket', 'agenda', 'order_of_business', 'agendum']"
relations,"['carnal_knowledge', 'sexual_intercourse', 'sexual_relation', 'congress', 'copulation', 'intercourse', 'sex_act', 'coitus', 'relation_back', 'dealings', 'coition', 'relations', 'telling', 'sexual_congress', 'relation', 'recounting', 'relative']"
--,[]
Program,"['programme', 'platform', 'computer_program', 'syllabus', 'plan', 'course_of_study', 'political_program', 'curriculum', 'broadcast', 'computer_programme', 'program', 'political_platform']"
pressing,"['press', 'constrict', 'compress', 'campaign', 'crusade', 'urge_on', 'iron', 'weight-lift', 'push', 'beseech', 'compact', 'pressure', 'conjure', 'agitate', 'exhort', 'contract', 'urge', 'weigh', 'iron_out', 'bid', 'fight', 'weightlift', 'adjure', 'urgent', 'press_out', 'entreat', 'squeeze', 'pressing']"
Transitional,['transitional']
efficiency,['efficiency']
progress,"['advance', 'progress', 'onward_motion', 'get_on', 'build_up', 'pass_on', 'move_on', 'come_on', 'forward_motion', 'march_on', 'come_along', 'go_on', 'shape_up', 'build', 'get_along', 'work_up', 'advancement', 'progression', 'procession']"
sectors,"['sphere', 'sector']"
now,"['right_away', 'at_once', 'now', 'straightaway', 'forthwith', 'instantly', 'at_present', 'nowadays', 'directly', 'immediately', 'straight_off', 'today', 'like_a_shot']"
groups,"['grouping', 'group', 'aggroup', 'chemical_group', 'radical', 'mathematical_group']"
state,"['commonwealth', 'State_Department', 'country', 'state', 'say', 'submit', 'province', 'state_of_matter', 'body_politic', 'posit', 'res_publica', 'put_forward', 'DoS', 'State', 'land', 'United_States_Department_of_State', 'nation', 'Department_of_State', 'tell', 'express']"
difficulty,"['trouble', 'difficultness', 'difficulty']"
seek,"['assay', 'look_for', 'attempt', 'essay', 'seek', 'search', 'try']"
small,"['pocket-size', 'humble', 'minor', 'low', 'modest', 'small', 'lowly', 'diminished', 'belittled', 'little', 'pocket-sized', 'small-scale', 'minuscule']"
claims,"['title', 'take', 'arrogate', 'exact', 'lay_claim', 'call', 'claim']"
failure,"['unsuccessful_person', 'bankruptcy', 'loser', 'nonstarter', 'failure']"
finance,['finance']
basic,"['canonical', 'basic', 'introductory', 'BASIC', 'canonic', 'staple']"
Iran,"['Iran', 'Islamic_Republic_of_Iran', 'Persia']"
this,[]
especially,"['peculiarly', 'especially', 'particularly', 'specially']"
Our,[]
gradually,"['step_by_step', 'gradually', 'bit_by_bit']"
operational,"['useable', 'functional', 'in_operation', 'usable', 'operational', 'operating', 'operable']"
relation,"['sexual_intercourse', 'sexual_relation', 'congress', 'copulation', 'intercourse', 'sex_act', 'coitus', 'relation_back', 'coition', 'carnal_knowledge', 'telling', 'sexual_congress', 'relation', 'recounting', 'relative']"
security,"['surety', 'security_measures', 'certificate', 'security_system', 'security_measure', 'protection', 'security', 'security_department']"
only,"['but', 'exclusively', 'simply', 'alone', 'only_if', 'only', 'only_when', 'lone', 'just', 'solely', 'lonesome', 'merely', 'entirely', 'sole', 'solitary']"
assumed,"['false', 'take_for_granted', 'simulate', 'fictive', 'take_up', 'seize', 'strike', 'arrogate', 'get_into', 'pretended', 'presume', 'assumed', 'adopt', 'take', 'take_on', 'acquire', 'bear', 'wear', 'sham', 'take_over', 'feign', 'put_on', 'fictitious', 'assume', 'usurp', 'accept', 'don']"
based,"['ground', 'establish', 'free-base', 'based', 'found', 'base']"
class,"['year', 'class', 'assort', 'course_of_instruction', 'category', 'social_class', 'course_of_study', 'family', 'sort', 'stratum', 'form', 'separate', 'division', 'course', 'socio-economic_class', 'grade', 'classify', 'sort_out']"
shared,"['apportion', 'shared', 'divided_up', 'divided', 'portion_out', 'share', 'shared_out', 'divvy_up', 'deal', 'partake', 'partake_in']"
statesmanship,"['statesmanship', 'statecraft', 'diplomacy']"
constraining,"['tighten', 'constrictive', 'limiting', 'restricting', 'confining', 'tighten_up', 'cumber', 'constraining', 'stiffen', 'restrain', 'encumber', 'constrain']"
vastly,"['immensely', 'vastly']"
instead,"['rather', 'alternatively', 'instead', 'or_else']"
relationship,"['kinship', 'relationship', 'human_relationship', 'family_relationship']"
fail,"['bomb', 'miscarry', 'flunk', 'go_wrong', 'give_way', 'go_bad', 'conk_out', 'betray', 'die', 'fail', 'give_out', 'break_down', 'neglect', 'flush_it', 'go', 'run_out', 'break']"
during,[]
local,"['topical_anaesthetic', 'local_anaesthetic', 'topical_anesthetic', 'local', 'local_anesthetic']"
lack,"['miss', 'want', 'deficiency', 'lack']"
members,"['penis', 'fellow_member', 'phallus', 'member', 'appendage', 'extremity']"
self-discipline,"['self-control', 'self-denial', 'self-discipline']"
projection,"['expulsion', 'sound_projection', 'ejection', 'acoustic_projection', 'forcing_out', 'jut', 'jutting', 'protrusion', 'projection', 'project']"
enough,"['sufficiency', 'enough', 'adequate', 'plenty', 'decent']"
over,"['all_over', ""o'er"", 'terminated', 'over', 'ended', 'concluded', 'complete']"
wishes,"['wishing', 'indirect_request', 'wish_well', 'compliments', 'regard', 'like', 'wish', 'care', 'bid', 'want']"
accept,"['have', 'swallow', 'assume', 'admit', 'take', 'take_on', 'accept', 'live_with', 'bear', 'take_over', 'consent', 'go_for']"
famed,"['celebrated', 'illustrious', 'famous', 'renowned', 'notable', 'famed', 'noted', 'far-famed']"
accepted,"['have', 'swallow', 'assume', 'recognised', 'admit', 'take', 'take_on', 'recognized', 'accept', 'live_with', 'bear', 'take_over', 'accepted', 'consent', 'go_for']"
transition,"['conversion', 'modulation', 'changeover', 'passage', 'transition']"
provincial,"['provincial', 'bucolic', 'peasant']"
alone,"['exclusively', 'unaccompanied', 'alone', 'unique', 'unparalleled', 'lone', 'solo', 'solely', 'unequalled', 'unequaled', 'lonely', 'only', 'entirely', 'solitary']"
By,"['away', 'past', 'by', 'aside']"
On,"['along', 'on']"
lose,"['fall_behind', 'recede', 'drop_off', 'misplace', 'lose', 'mislay', 'miss', 'suffer', 'fall_back', 'turn_a_loss']"
dangerous,"['unsafe', 'dangerous', 'grave', 'severe', 'life-threatening', 'serious', 'grievous']"
holding,"['declare', 'have', 'hold_back', 'defy', 'contain', 'holding', 'throw', 'confine', 'harbour', 'accommodate', 'control', 'adjudge', 'apply', 'bind', 'admit', 'retention', 'maintain', 'guard', 'book', 'take_for', 'moderate', 'give', 'sustain', 'defend', 'obligate', 'halt', 'withstand', 'take', 'property', 'prevail', 'concord', 'take_hold', 'restrain', 'have_got', 'obtain', 'reserve', 'hold', 'concur', 'deem', 'bear', 'support', 'keep', 'carry', 'view_as', 'retain', 'make', 'harbor', 'entertain', 'hold_up', 'check', 'curb', 'keep_back', 'arrest', 'agree', 'belongings', 'nurse', 'hold_in', 'oblige', 'keeping', 'go_for']"
time,"['sentence', 'clip', 'meter', 'metre', 'time', 'clock', 'clock_time', 'prison_term', 'fourth_dimension']"
respects,"['deference', 'respectfulness', 'honor', 'respect', 'obedience', 'abide_by', 'esteem', 'honour', 'respects', 'regard', 'value', 'prize', 'observe', 'prise']"
priority,"['antecedency', 'precedency', 'precedence', 'anteriority', 'priority', 'antecedence']"
authoritarian,"['dictator', 'authoritarian', 'despotic', 'dictatorial', 'autocratic', 'tyrannical', 'tyrannic', 'overbearing']"
mobilize,"['call_up', 'mobilize', 'mobilise', 'rally', 'marshal', 'circulate', 'summon']"
stage,"['stagecoach', 'represent', 'microscope_stage', 'stage', 'phase', 'level', 'point', 'present', 'arrange', 'degree', 'leg']"
conception,"['concept', 'invention', 'design', 'conception', 'excogitation', 'construct', 'innovation', 'creation']"
dominance,"['ascendence', 'authorisation', 'say-so', 'ascendance', 'dominance', 'authority', 'potency', 'laterality', 'ascendency', 'ascendancy', 'authorization', 'control']"
able,"['able', 'capable', 'able-bodied']"
a,"['vitamin_A', 'angstrom', 'amp', 'ampere', 'angstrom_unit', 'adenine', 'deoxyadenosine_monophosphate', 'a', 'A', 'axerophthol', 'type_A', 'group_A', 'antiophthalmic_factor']"
an,"['Associate_in_Nursing', 'AN']"
itself,[]
recreated,"['reanimate', 'renovate', 'hearten', 'cheer', 'embolden', 'repair', 'animate', 'vivify', 'revive', 'play', 'quicken', 'recreate', 'revivify']"
or,"['Beaver_State', 'surgery', 'operating_room', 'operating_theater', 'OR', 'operating_theatre', 'Oregon']"
likely,"['in_all_probability', 'probable', 'belike', 'in_all_likelihood', 'potential', 'probably', 'likely']"
memories,"['store', 'retention', 'memory_board', 'storage', 'computer_memory', 'computer_storage', 'retentiveness', 'memory', 'retentivity', 'remembering']"
India,"['Republic_of_India', 'India', 'Bharat']"
governmental,['governmental']
guide,"['conduct', 'lead', 'steer', 'templet', 'draw', 'channelise', 'usher', 'head', 'pass', 'pathfinder', 'run', 'template', 'scout', 'guide', 'direct', 'take', 'guidebook', 'guide_on', 'manoeuver', 'channelize', 'point', 'manoeuvre', 'maneuver']"
We,[]
announcement,"['proclamation', 'announcement', 'annunciation', 'declaration', 'promulgation']"
balance,"['equilibrate', 'residual', 'proportionality', 'Libra_the_Scales', 'Balance', 'equilibrize', 'poise', 'proportion', 'counterpoise', 'equilibrium', 'Libra', 'rest', 'balance', 'counterweight', 'equipoise', 'counterbalance', 'symmetricalness', 'remainder', 'residuum', 'equilibrise', 'balance_wheel', 'residue', 'correspondence', 'Libra_the_Balance', 'symmetry', 'equaliser', 'equalizer']"
thing,"['matter', 'affair', 'thing']"
actions,"['natural_action', 'action_at_law', 'process', 'carry_through', 'fulfil', 'activeness', 'military_action', 'action_mechanism', 'accomplish', 'natural_process', 'sue', 'activity', 'execute', 'action', 'carry_out', 'litigate', 'fulfill', 'legal_action']"
fashion,"['forge', 'style', 'way', 'mode', 'fashion', 'manner']"
underlining,"['emphasise', 'underscore', 'underline', 'emphasize']"
one,"['one', '1', 'unity', 'nonpareil', 'one_and_only', 'unrivaled', 'peerless', 'I', 'unmatchable', 'unmatched', 'i', 'single', 'ane', 'unitary', 'matchless', 'unrivalled', 'ace']"
possible,"['possible', 'potential']"
intellectuals,"['intellect', 'intellectual']"
investment,"['investiture', 'investment_funds', 'investment', 'investing']"
democratize,"['democratise', 'democratize']"
inadequate,"['inadequate', 'poor', 'short', 'unequal']"
category,"['category', 'family', 'class']"
public,"['populace', 'world', 'public']"
combined,"['compound', 'unite', 'merge', 'combine', 'coalesce', 'commingle', 'conflate', 'flux', 'meld', 'mix', 'immix', 'fuse', 'aggregate', 'blend', 'combined']"
